AC NAME,STATE/UT NAME,AC NO.,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS,DIFF
Ichchapuram,Andhra Pradesh,1, ASHOK BENDALAM,MALE,37.0,GENERAL,TDP,Bicycle,79405,587.0,79992,46.392882620068086,247941,0
Ichchapuram,Andhra Pradesh,1, PIRIYA SAIRAJ,MALE,42.0,GENERAL,YSRCP,Ceiling Fan,71931,916.0,72847,42.249003903191564,247941,7145
Ichchapuram,Andhra Pradesh,1, DASARI RAJU,MALE,42.0,GENERAL,JnP,Glass Tumbler,10940,183.0,11123,6.4509955168394,247941,68869
Ichchapuram,Andhra Pradesh,1, NOTA,,,,NOTA,NOTA,3872,8.0,3880,2.250279835056808,247941,76112
Ichchapuram,Andhra Pradesh,1, ESWARA RAO KOLLI,MALE,50.0,GENERAL,INC,Hand,2100,38.0,2138,1.2399737853998596,247941,77854
Ichchapuram,Andhra Pradesh,1, JANNALA SURYAVARA PRASADA RAO,MALE,67.0,GENERAL,BJP,Lotus,1656,170.0,1826,1.0590234481478689,247941,78166
Ichchapuram,Andhra Pradesh,1, GANAPA VANAJAKSHI,FEMALE,31.0,GENERAL,IND,Ring,613,4.0,617,0.3578408912964048,247941,79375
Palasa,Andhra Pradesh,2, APPALARAJU SEEDIRI,MALE,39.0,GENERAL,YSRCP,Ceiling Fan,75357,1246.0,76603,50.83448912011998,206799,0
Palasa,Andhra Pradesh,2, GOUTHU SIREESHA,FEMALE,44.0,GENERAL,TDP,Bicycle,59873,483.0,60356,40.052823327206006,206799,16247
Palasa,Andhra Pradesh,2, KOTHA PURNACHANDRA RAO,MALE,47.0,GENERAL,JnP,Glass Tumbler,5972,161.0,6133,4.069917911487746,206799,70470
Palasa,Andhra Pradesh,2, NOTA,,,,NOTA,NOTA,3034,10.0,3044,2.0200277388828796,206799,73559
Palasa,Andhra Pradesh,2, KORRAYI BALAKRISHNA,MALE,49.0,GENERAL,BJP,Lotus,1359,215.0,1574,1.0445215706312918,206799,75029
Palasa,Andhra Pradesh,2, MAJJI SARADA,FEMALE,64.0,GENERAL,INC,Hand,1226,29.0,1255,0.8328300960243148,206799,75348
Palasa,Andhra Pradesh,2, DUNNA VASUDEVU,MALE,54.0,GENERAL,IND,Tractor Chalata Kissan,636,3.0,639,0.4240465588522208,206799,75964
Palasa,Andhra Pradesh,2, MANOJ NALANAGULA,MALE,38.0,GENERAL,IND,Football,392,0.0,392,0.26013497820042336,206799,76211
Palasa,Andhra Pradesh,2, KAMESWARA RAO POTHANAPALLI,MALE,51.0,GENERAL,CPI(ML)(L),Flag with Three Stars,368,1.0,369,0.2448719565202965,206799,76234
Palasa,Andhra Pradesh,2, MAMIDI PRASAD,MALE,32.0,GENERAL,IND,Ring,322,4.0,326,0.2163367420748419,206799,76277
Tekkali,Andhra Pradesh,3, ATCHANNAIDU KINJARAPU,MALE,49.0,GENERAL,TDP,Bicycle,86626,1032.0,87658,49.641245193478426,224852,0
Tekkali,Andhra Pradesh,3, PERADA TILAK,MALE,45.0,GENERAL,YSRCP,Ceiling Fan,77769,1344.0,79113,44.80216102342808,224852,8545
Tekkali,Andhra Pradesh,3, NOTA,,,,NOTA,NOTA,2929,6.0,2935,1.6621079039318623,224852,84723
Tekkali,Andhra Pradesh,3, Kaniti Kiran Kumar,MALE,37.0,GENERAL,JnP,Glass Tumbler,2710,96.0,2806,1.5890544389890306,224852,84852
Tekkali,Andhra Pradesh,3, Chintada Dileep Kumar,MALE,38.0,SC,INC,Hand,1706,37.0,1743,0.9870712356229083,224852,85915
Tekkali,Andhra Pradesh,3, HANUMANTHU UDAY BHASKAR,MALE,50.0,GENERAL,BJP,Lotus,773,156.0,929,0.5260982087743441,224852,86729
Tekkali,Andhra Pradesh,3, Ramu Geddevalasa,MALE,35.0,GENERAL,IND,Helicopter,613,1.0,614,0.34771184089068596,224852,87044
Tekkali,Andhra Pradesh,3, Gutla Kanchana,FEMALE,31.0,GENERAL,IND,DIAMOND,567,2.0,569,0.32222807405016335,224852,87089
Tekkali,Andhra Pradesh,3, Chandrasekhara Patnaik,MALE,58.0,GENERAL,AIFB,Lion,213,3.0,216,0.1223220808345084,224852,87442
Pathapatnam,Andhra Pradesh,4, REDDY SHANTHI,FEMALE,51.0,GENERAL,YSRCP,Ceiling Fan,75669,1272.0,76941,50.42038283343927,217897,0
Pathapatnam,Andhra Pradesh,4, KALAMATA VENKATA RAMANA MURTHY,MALE,56.0,GENERAL,TDP,Bicycle,60975,415.0,61390,40.2296214260906,217897,15551
Pathapatnam,Andhra Pradesh,4, GEDELA GYANA SAGAR,MALE,27.0,GENERAL,JnP,Glass Tumbler,5378,130.0,5508,3.609460088205034,217897,71433
Pathapatnam,Andhra Pradesh,4, NOTA,,,,NOTA,NOTA,4202,15.0,4217,2.7634519230139123,217897,72724
Pathapatnam,Andhra Pradesh,4, BANNA RAMU,MALE,44.0,SC,INC,Hand,1679,23.0,1702,1.1153415159994495,217897,75239
Pathapatnam,Andhra Pradesh,4, RAGHAVA RAO SALANA,MALE,53.0,GENERAL,BJP,Lotus,1341,109.0,1450,0.9502028191534676,217897,75491
Pathapatnam,Andhra Pradesh,4, KANTUBHUKTA BHASKARA RAO,MALE,42.0,GENERAL,ACP,Tooth Brush,524,2.0,526,0.34469426405153375,217897,76415
Pathapatnam,Andhra Pradesh,4, MULLETI SRINIVAS ACHARI,MALE,35.0,GENERAL,IND,Ganna Kisan,521,0.0,521,0.341417702606177,217897,76420
Pathapatnam,Andhra Pradesh,4, BHASKARARAO BODDEPALLI,MALE,30.0,GENERAL,IND,Air Conditioner,343,1.0,344,0.2254274274405468,217897,76597
Srikakulam,Andhra Pradesh,5, DHARMANA PRASADA RAO,MALE,60.0,GENERAL,YSRCP,Ceiling Fan,82388,1696.0,84084,47.42550635374541,256243,0
Srikakulam,Andhra Pradesh,5, GUNDA LAKSHMI DEVI,FEMALE,58.0,GENERAL,TDP,Bicycle,77575,732.0,78307,44.16713198756888,256243,5777
Srikakulam,Andhra Pradesh,5, KORADA SARVESWARA RAO,MALE,39.0,GENERAL,JnP,Glass Tumbler,7440,117.0,7557,4.262339464288735,256243,76527
Srikakulam,Andhra Pradesh,5, NOTA,,,,NOTA,NOTA,3063,19.0,3082,1.7383260856077654,256243,81002
Srikakulam,Andhra Pradesh,5, CHOWDARI SATISH,MALE,33.0,GENERAL,INC,Hand,1800,27.0,1827,1.0304742889050578,256243,82257
Srikakulam,Andhra Pradesh,5, CHALLA VENKATESWARA RAO,MALE,52.0,GENERAL,BJP,Lotus,1260,80.0,1340,0.7557939502642459,256243,82744
Srikakulam,Andhra Pradesh,5, MYLAPILLI TEJU,FEMALE,28.0,GENERAL,IND,SHIP,528,5.0,533,0.3006255040976441,256243,83551
Srikakulam,Andhra Pradesh,5, RAGOLU NAGA SIVA,MALE,32.0,GENERAL,JAJGP,Mike,303,2.0,305,0.17202772748551864,256243,83779
Srikakulam,Andhra Pradesh,5, MAHESH A,MALE,38.0,GENERAL,PPOI,FLUTE,261,1.0,262,0.1477746380367406,256243,83822
Amadalavalasa,Andhra Pradesh,6, THAMMINENI SEETHARAM,MALE,64.0,GENERAL,YSRCP,Ceiling Fan,76801,1096.0,77897,51.90676413164436,189677,0
Amadalavalasa,Andhra Pradesh,6, KOONA RAVIKUMAR,MALE,50.0,GENERAL,TDP,Bicycle,63274,632.0,63906,42.58384364734026,189677,13991
Amadalavalasa,Andhra Pradesh,6, PEDADA RAMAMOHANA RAO,MALE,31.0,GENERAL,JnP,Glass Tumbler,3193,87.0,3280,2.185632134123182,189677,74617
Amadalavalasa,Andhra Pradesh,6, NOTA,,,,NOTA,NOTA,2651,5.0,2656,1.7698289476314546,189677,75241
Amadalavalasa,Andhra Pradesh,6, BODDEPALLI SATYAVATHI,FEMALE,66.0,GENERAL,INC,Hand,969,24.0,993,0.6616868015805852,189677,76904
Amadalavalasa,Andhra Pradesh,6, GADDAYYA PATINI,MALE,64.0,GENERAL,BJP,Lotus,854,102.0,956,0.637031804945659,189677,76941
Amadalavalasa,Andhra Pradesh,6, SATEESHKUMAR TULUGU,MALE,27.0,GENERAL,IND,Almirah,380,3.0,383,0.25521253273450567,189677,77514
